单品编码,单品名称,分类编码,分类名称,总销量,平均销售单价,批发价格,损耗率,需求
102900005115168,牛首生菜,1011010101,花叶类,899.837,4.08001916626737,2.2,12.83,899.837
102900005115199,四川红香椿,1011010101,花叶类,333.223,32.752994791666666,17.96,12.83,333.223
102900005115625,本地小毛白菜,1011010101,花叶类,121.02,4.612418300653594,3.0,12.83,121.02
102900005115748,白菜苔,1011010101,花叶类,718.676,4.060229885057471,2.64,12.83,718.676
102900005115762,苋菜,1011010101,花叶类,5100.061,5.071307893970289,2.21,12.83,5100.061
102900005115779,云南生菜,1011010101,花叶类,15910.461,8.209421616065384,5.68,12.83,15910.461
102900005115786,竹叶菜,1011010101,花叶类,7240.764,5.474428518472755,2.15,12.83,7240.764
102900005115793,小白菜,1011010101,花叶类,1707.303,15.793224181360202,11.82,12.83,1707.303
102900005115816,南瓜尖,1011010101,花叶类,18.428,8.19047619047619,4.47,12.83,18.428
102900005115823,上海青,1011010101,花叶类,7606.756,7.524657534246575,4.09,12.83,7606.756
102900005115854,萝卜叶,1011010101,花叶类,415.325,5.125609756097561,2.29,12.83,415.325
102900005115861,牛首油菜,1011010101,花叶类,3836.566,4.107791074545001,2.0,12.83,3836.566
102900005115878,茼蒿,1011010101,花叶类,4110.162,6.637282780410742,8.42,12.83,4110.162
102900005115885,蔡甸藜蒿,1011010101,花叶类,939.575,14.294796288826142,6.22,12.83,939.575
102900005115908,菜心,1011010101,花叶类,4496.717,7.315399648231386,4.62,12.83,4496.717
102900005115946,木耳菜,1011010101,花叶类,1566.64,7.098733195449845,3.12,12.83,1566.64
102900005115960,大白菜,1011010101,花叶类,19187.218,2.1455988931348005,2.53,12.83,19187.218
102900005115977,豌豆尖,1011010101,花叶类,85.048,14.767263427109974,14.17,12.83,85.048
102900005115984,云南油麦菜,1011010101,花叶类,10305.364,6.892826133677198,2.66,12.83,10305.364
102900005116639,马齿苋,1011010101,花叶类,94.315,9.61405750798722,7.22,12.83,94.315
102900005116790,黄心菜(1),1011010101,花叶类,2911.299,6.077299209321681,10.0,12.83,2911.299
102900005116806,黑油菜,1011010101,花叶类,101.125,4.306666666666667,2.0,12.83,101.125
102900005118572,本地上海青,1011010101,花叶类,596.697,2.570127795527157,1.6,12.83,596.697
102900005118817,菠菜,1011010101,花叶类,5216.461,9.963779749331081,9.67,12.83,5216.461
102900005118831,娃娃菜,1011010101,花叶类,8982.0,5.0217700689348455,4.4,12.83,8982.0
102900005119975,红薯尖,1011010101,花叶类,5159.433,5.985344234736761,2.6,12.83,5159.433
102900005122654,枝江红菜苔,1011010101,花叶类,4962.454,6.389383875400824,4.17,12.83,4962.454
102900005128748,黄花菜,1011010101,花叶类,1.784,67.85454545454546,65.36,12.83,1.784
102900011000175,快菜,1011010101,花叶类,91.272,8.217391304347826,5.43,12.83,91.272
102900011000571,随州泡泡青,1011010101,花叶类,675.221,4.696127562642369,5.8,12.83,675.221
102900011002414,田七,1011010101,花叶类,45.252,13.50960451977401,8.16,12.83,45.252
102900011006689,东门口小白菜,1011010101,花叶类,1543.478,5.253676117251321,3.61,12.83,1543.478
102900011006948,外地茼蒿,1011010101,花叶类,732.615,16.151889168765745,9.19,12.83,732.615
102900011006955,冰草,1011010101,花叶类,16.337,13.9125,7.14,12.83,16.337
102900011007464,紫苏,1011010101,花叶类,30.172,20.466666666666665,6.13,12.83,30.172
102900011007471,薄荷叶,1011010101,花叶类,7.568,17.89275362318841,11.18,12.83,7.568
102900011007495,蒲公英,1011010101,花叶类,4.232,29.79032258064516,10.06,12.83,4.232
102900011008133,丝瓜尖,1011010101,花叶类,14.227,20.64,32.49,12.83,14.227
102900011008164,奶白菜,1011010101,花叶类,5816.308,4.859513290902284,2.56,12.83,5816.308
102900011008485,芥菜,1011010101,花叶类,51.735,7.451923076923077,8.09,12.83,51.735
102900011008492,大芥兰,1011010101,花叶类,7.48,3.8,4.3,12.83,7.48
102900011008515,面条菜,1011010101,花叶类,12.936,9.212698412698412,5.09,12.83,12.936
102900011008522,甜白菜,1011010101,花叶类,4685.261,7.638536005434782,4.98,12.83,4685.261
102900011008676,荠菜,1011010101,花叶类,15.887,6.0736842105263165,11.17,12.83,15.887
102900011015384,马兰头,1011010101,花叶类,3.39,47.050000000000004,30.5,12.83,3.39
102900011015391,甘蓝叶,1011010101,花叶类,0.9430000000000001,12.0,2.0,12.83,0.9430000000000001
102900011021644,洪山菜苔,1011010101,花叶类,25.0,3.96,6.13,12.83,25.0
102900011022849,本地黄心油菜,1011010101,花叶类,1375.122,3.2037590773173856,0.6,12.83,1375.122
102900011022924,青菜苔,1011010101,花叶类,30.275,3.0,1.4,12.83,30.275
102900011023464,小青菜(1),1011010101,花叶类,3267.993,5.893957016434892,2.7,12.83,3267.993
