销售日期,扫码销售时间,单品编码,销量(千克),销售单价(元/千克),销售类型,是否打折销售
6-24 00:00:00,09:10:47.276,102900011032022,1,2.8,销售,否
2023-06-24 00:00:00,09:10:47.531,102900005115786,0.379,4,销售,否
2023-06-24 00:00:00,09:13:51.795,102900005115762,0.505,4,销售,否
2023-06-24 00:00:00,09:14:43.77,102900005115762,0.505,4,销售,否
2023-06-24 00:00:00,09:14:44.044,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,09:14:44.443,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,09:19:55.484,102900005115823,0.477,8,销售,否
2023-06-24 00:00:00,09:19:55.705,102900011006948,0.485,12,销售,否
2023-06-24 00:00:00,09:22:36.474,102900005115250,0.271,24,销售,否
2023-06-24 00:00:00,09:25:27.795,102900051000463,0.415,8,销售,否
2023-06-24 00:00:00,09:26:23.77,102900011016701,0.426,5.2,销售,否
2023-06-24 00:00:00,09:27:30.513,102900011030097,1,4.5,销售,否
2023-06-24 00:00:00,09:27:33.512,102900011030097,1,4.5,销售,否
2023-06-24 00:00:00,09:28:18.358,102900005115762,1.061,4,销售,否
2023-06-24 00:00:00,09:29:11.705,102900011035078,0.25,20,销售,否
2023-06-24 00:00:00,09:29:37.139,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,09:29:39.092,106971533450003,1,3,销售,否
2023-06-24 00:00:00,09:31:00.858,102900005116714,0.373,14,销售,否
2023-06-24 00:00:00,09:31:03.983,102900005116714,0.287,14,销售,否
2023-06-24 00:00:00,09:31:43.194,102900005116899,0.576,16,销售,否
2023-06-24 00:00:00,09:31:43.4,102900011030097,1,4.5,销售,否
2023-06-24 00:00:00,09:31:43.591,102900005115786,0.808,4,销售,否
2023-06-24 00:00:00,09:32:18.472,102900005115250,0.113,24,销售,否
2023-06-24 00:00:00,09:33:16.125,102900005115250,0.146,24,销售,否
2023-06-24 00:00:00,09:33:16.728,102900011031100,1,5.8,销售,否
2023-06-24 00:00:00,09:33:26.05,102900005119975,0.269,6,销售,否
2023-06-24 00:00:00,09:33:32.678,102900005116257,0.285,6,销售,否
2023-06-24 00:00:00,09:33:33.093,102900011016701,0.271,5.2,销售,否
2023-06-24 00:00:00,09:33:41.958,102900011034026,0.594,14,销售,否
2023-06-24 00:00:00,09:33:58.107,102900005116714,0.416,14,销售,否
2023-06-24 00:00:00,09:34:19.62,102900005115786,0.278,4,销售,否
2023-06-24 00:00:00,09:34:20.181,102900011008164,0.291,5.2,销售,否
2023-06-24 00:00:00,09:34:32.808,102900005115786,0.985,4,销售,否
